"genes"	"modules"
"12557"	"M1"
"3287"	"M1"
"4242"	"M1"
"5718"	"M8"
"10358"	"M7"
"8870"	"M8"
"1932"	"M2"
"2148"	"M1"
"5356"	"M8"
"6902"	"M3"
"12034"	"M1"
"9435"	"M2"
"6381"	"M1"
"14512"	"M4"
"5807"	"M3"
"15961"	"M2"
"13623"	"M1"
"10907"	"M1"
"2519"	"M1"
"11271"	"M2"
"15459"	"M1"
"11651"	"M1"
"8905"	"M1"
"3811"	"M1"
"11890"	"M1"
"12255"	"M1"
"16414"	"M1"
"7788"	"M1"
"7541"	"M8"
"9360"	"M6"
"7087"	"M3"
"15423"	"M1"
"14724"	"M1"
"12113"	"M1"
"1399"	"M1"
"10394"	"M1"
"11031"	"M1"
"945"	"M1"
"15814"	"M1"
"466"	"M2"
"14508"	"M8"
"14692"	"M1"
"11961"	"M1"
"12701"	"M3"
"8008"	"M2"
"11103"	"M2"
"15729"	"M4"
"8435"	"M1"
"2163"	"M2"
"14675"	"M3"
"5682"	"M2"
"1882"	"M5"
"2900"	"M1"
"10922"	"M1"
"15970"	"M1"
"9394"	"M2"
"16041"	"M3"
"6160"	"M1"
"1315"	"M3"
"9436"	"M6"
"14770"	"M4"
"3758"	"M1"
"12765"	"M6"
"14516"	"M1"
"14661"	"M1"
"5898"	"M1"
"12055"	"M1"
"3213"	"M3"
"15000"	"M1"
"14027"	"M3"
"12190"	"M1"
"6315"	"M6"
"9656"	"M1"
"429"	"M1"
"2615"	"M1"
"3662"	"M1"
"15310"	"M1"
"14727"	"M4"
"14369"	"M7"
"1389"	"M6"
"15188"	"M2"
"381"	"M1"
"15980"	"M1"
"5094"	"M1"
"4174"	"M1"
"15660"	"M1"
"6977"	"M7"
"1079"	"M1"
"6175"	"M1"
"4033"	"M1"
"4063"	"M2"
"14053"	"M1"
"9800"	"M1"
"2393"	"M3"
"6040"	"M1"
"13385"	"M1"
"16040"	"M7"
"13271"	"M1"
"14828"	"M1"
"9219"	"M2"
"6418"	"M3"
"9974"	"M6"
"10005"	"M3"
"14158"	"M1"
"4859"	"M5"
"10523"	"M1"
"16008"	"M6"
"13772"	"M8"
"14618"	"M7"
"8914"	"M7"
"14581"	"M1"
